,-t1-t2-t3-t4,t1-t2-t3-t4,-t1t2-t3-t4,t1t2-t3-t4,-t1-t2t3-t4,t1-t2t3-t4,-t1t2t3-t4,t1t2t3-t4,-t1-t2-t3t4,t1-t2-t3t4,-t1t2-t3t4,t1t2-t3t4,-t1-t2t3t4,t1-t2t3t4,-t1t2t3t4,t1t2t3t4,-t1-t2-t3-t4p2;-t1-t2-t3-t4,t1-t2-t3-t4p1;-t1-t2-t3-t4p2;-t1-t2-t3-t4,
-t1-t2-t3-t4p2;t1t2t3t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1-t2-t3-t4p2;t1t2t3t4p2;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
t1-t2-t3-t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
t1-t2-t3-t4p2;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1t2-t3-t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1t2-t3-t4p2;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
t1t2-t3-t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
t1t2-t3-t4p2;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1-t2t3-t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1-t2t3-t4p2;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
t1-t2t3-t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
t1-t2t3-t4p2;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1t2t3-t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1t2t3-t4p2;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
t1t2t3-t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
t1t2t3-t4p2;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1-t2-t3t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1-t2-t3t4p2;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
t1-t2-t3t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
t1-t2-t3t4p2;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1t2-t3t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1t2-t3t4p2;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
t1t2-t3t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
t1t2-t3t4p2;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1-t2t3t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1-t2t3t4p2;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
t1-t2t3t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
t1-t2t3t4p2;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1t2t3t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-t1t2t3t4p2;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
t1t2t3t4p1;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
t1t2t3t4p2;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
